rank,symbol,name,exch_name,sector,industry,country,mcap_eur_m,price,currency,overall,fund_score,ai_score,pillar_quality,pillar_growth,pillar_balance,pillar_valuation,pe_ttm,pe_fwd,ev_ebitda,ev_rev,pb,ps,earnings_yield,fwd_earnings_yield,fcf_yield,div_yield,payout,analyst_upside,n_analysts,rec_key,roe,roa,gm,om,nm,rev_growth,eps_growth,nd_ebitda,net_cash_eur_m,debt_equity,current_ratio,rev_eur_m,employees,rev_emp_keur,insider_pct,beta,w52_change,adv_eur_k,coverage,ai_base,ai_note,dup_class
11,OPTER.ST,Opter AB (publ),Stockholm,Technology,Software - Application,Sweden,39.8086,73.2,SEK,77.1,72.1,86.4,83.4,55.2,92.1,60.1,21.15607,,,3.993,11.06074,4.34567,0.04727,,0.03415,0.0443,0.841,,,none,0.54552,0.32005,0.49423,0.25416,0.20545,0.063,0.261,,3.23345,,3.982,9.16051,50,183.21023,0.67267,0.108,-0.33455,22.10041,0.75,92,Software economics — AI compounds both the product and dev productivity,False
12,WPTG-B.ST,White Pearl Technology Group AB,Stockholm,Technology,Information Technology Services,Sweden,35.83246,12.76,SEK,77.0,72.4,85.5,73.1,75.1,80.0,66.1,4.44599,,4.279,0.72,1.50649,0.71193,0.22492,,-0.02047,,0.0,1.27273,1.0,none,0.35316,0.19446,0.35003,0.16065,0.13223,0.453,0.284,0.191,-1.61759,0.26664,5.78,50.33161,950,52.98064,0.72778,0.375,0.58706,84.83081,1.0,90,IT services — delivery is labor-hours that AI directly automates,False
13,VEFAB.ST,VEF AB (publ),Stockholm,Financial Services,Asset Management,Sweden,186.47717,1.77,SEK,76.8,80.4,70.0,87.8,,43.7,90.1,6.10345,-8.42857,3.07116,2.64292,0.45677,3.02066,0.16384,-0.11864,0.28992,,0.0,0.70904,4.0,strong_buy,0.1467,0.09047,1.0,1.16864,0.79477,,,-0.1605,8.52644,,0.387,61.7339,8,7716.73705,0.05612,0.89,-0.14904,200.78692,0.75,80,Asset management — research and back-office automation,False
14,ADBE,Adobe Inc.,USA,Technology,Software - Application,United States,82395.92121,237.25,USD,76.4,73.4,82.0,93.3,55.0,47.2,75.7,13.56489,8.61823,9.843,3.8,8.21873,3.74263,0.07372,0.11603,0.09775,,0.0,0.14847,33.0,hold,0.62954,0.19926,0.89404,0.35328,0.28689,0.127,0.079,0.14914,-1267.73902,0.61443,0.751,22015.49335,31360,702.02466,0.00232,1.433,-0.35474,1329443.12616,1.0,92,Software economics — AI compounds both the product and dev productivity,False
15,MU,"Micron Technology, Inc.",USA,Technology,Semiconductors,United States,837702.09827,848.95,USD,76.0,80.2,68.2,94.1,98.4,88.0,47.9,19.19399,5.63077,13.766,10.403,13.2159,10.62098,0.0521,0.1776,0.00797,0.0006,0.0112,0.75741,42.0,strong_buy,0.66638,0.3487,0.72569,0.8037,0.55906,3.457,13.685,-0.28797,17164.71126,0.0633,3.425,78872.39329,53000,1488.15836,0.00255,2.142,6.49757,38395818.1536,1.0,78,Semis — rides the AI capex cycle and design automation,False
16,ENITY.ST,Enity Holding AB,Stockholm,Financial Services,Mortgage Finance,Sweden,318.59575,70.3,SEK,75.9,76.2,75.3,67.4,93.2,35.6,95.3,7.78516,,,5.697,0.60266,2.39735,0.12845,,,0.0199,0.0,0.45804,2.0,strong_buy,0.07836,0.01168,1.0,0.43543,0.29975,0.664,2.684,,-438.5382,1.10502,1.256,132.89477,356,373.2999,0.06263,,-0.06267,1383.24714,0.75,78,Financial Services sector default,False
17,EMB.ST,EMB Mission Bound AB (publ),Stockholm,Communication Services,Electronic Gaming & Multimedia,Sweden,13.99924,0.52,SEK,75.9,70.1,86.6,82.9,38.8,68.3,77.1,13.0,,5.573,0.956,3.04094,0.92764,0.07692,,0.06105,,0.0,,,none,0.24496,0.10287,1.0,0.13564,0.06747,0.022,,0.16805,-0.43525,0.24201,1.487,15.0912,116,130.09652,,-0.256,0.2037,3.01302,0.92,85,Gaming — content pipelines and live-ops are AI-automatable,False
18,HAV-B.ST,Havsfrun Investment AB (publ),Stockholm,Financial Services,Capital Markets,Sweden,14.63757,13.34,SEK,75.3,75.0,76.0,78.4,,92.1,62.6,19.33333,,,3.904,1.493,11.58654,0.05172,,0.03523,0.075,2.8986,,,none,0.07598,0.05233,1.0,3.12346,0.60303,,,,9.70534,,79.935,1.26333,3,421.10834,0.62011,0.803,-0.0863,5.61396,0.58,80,"Capital markets — research, ops and compliance are text-heavy",False
19,GEN,Gen Digital Inc.,USA,Technology,Software - Infrastructure,United States,14074.505,26.74,USD,75.2,72.7,79.9,89.6,88.6,13.8,71.7,17.03185,8.1357,10.032,4.793,6.1246,3.22182,0.05871,0.12292,0.08829,0.0187,0.3185,0.11096,10.0,buy,0.39877,0.08666,0.7846,0.63367,0.1946,0.27,2.652,3.28924,-6865.53458,3.16354,0.399,4368.50013,3900,1120.12824,0.09699,1.207,-0.1172,167885.87837,1.0,92,Software economics — AI compounds both the product and dev productivity,False
20,OPSYH.ST,Opsy Holding AB (publ),Stockholm,Technology,Software - Application,Sweden,11.50844,10.0,SEK,75.2,66.8,90.9,52.0,94.5,5.5,96.1,1.52207,,-16.175,11.331,-217.3913,11.34371,0.657,,,,0.0,,,none,,,0.89976,-0.63308,-1.10292,0.832,,,0.01305,,0.315,1.01452,7,144.93161,0.82874,,0.69492,7.37438,0.5,92,Software economics — AI compounds both the product and dev productivity,False
21,ADSK,"Autodesk, Inc.",USA,Technology,Software - Application,United States,40280.68529,218.35,USD,74.8,69.8,84.0,90.6,84.6,45.2,48.1,31.82945,15.31229,21.445,6.111,14.44687,6.14141,0.03142,0.06531,0.06639,,0.0,0.45774,32.0,strong_buy,0.50396,0.11325,0.92434,0.29524,0.19488,0.184,2.314,-0.0935,174.74001,0.85419,0.835,6558.86592,14300,458.66195,0.00223,1.318,-0.26023,488236.36457,1.0,92,Software economics — AI compounds both the product and dev productivity,False
22,PLTR,Palantir Technologies Inc.,USA,Technology,Software - Infrastructure,United States,277274.10204,132.38,USD,74.8,71.7,80.5,91.3,94.2,94.5,22.4,148.74158,63.20423,153.424,59.272,37.55461,60.74763,0.00672,0.01582,0.00552,,0.0,0.38332,27.0,buy,0.32587,0.14702,0.84074,0.46184,0.43673,0.847,3.25,-3.87188,6827.47299,0.02477,6.907,4564.36103,4395,1038.53493,0.03498,1.562,-0.12787,4905512.69132,1.0,92,Software economics — AI compounds both the product and dev productivity,False
23,EVO.ST,Evolution AB (publ),Stockholm,Consumer Cyclical,Gambling,Sweden,12063.05447,691.4,SEK,74.6,74.1,75.4,92.6,31.8,84.4,75.6,11.72262,9.64161,9.6263,5.87993,2.9037,5.87823,0.08531,0.10372,0.07588,0.0505,0.0,-0.01353,17.0,hold,0.26685,0.14224,1.0,0.5751,0.51774,-0.012,0.043,-0.8483,1063.33594,0.0213,2.037,2052.15706,16298,125.91466,0.40673,0.704,-0.16919,44043.95132,1.0,70,"Gaming/betting — risk, personalisation and CRM are data problems",False
24,TAALA.HE,Taaleri Oyj,Helsinki,Financial Services,Asset Management,Finland,204.78861,7.27,EUR,74.5,75.5,72.5,65.8,82.5,88.6,75.6,12.32203,11.98345,6.953,3.25,0.96637,3.36873,0.08116,0.08345,0.05373,0.0413,0.4237,0.20358,2.0,buy,0.09824,0.05943,0.59377,0.16093,0.28345,0.211,1.0,-0.58688,16.678,,3.018,60.791,130,467.62308,0.2521,0.908,0.03857,109.4862,0.92,80,Asset management — research and back-office automation,False
25,CTSH,Cognizant Technology Solutions Corporation,USA,Technology,Information Technology Services,United States,18501.6547,44.77,USD,74.2,68.2,85.4,65.0,42.1,80.7,83.0,9.7115,7.24435,5.343,0.971,1.40835,0.98927,0.10297,0.13804,0.09014,0.0295,0.2733,0.42734,25.0,buy,0.14876,0.10438,0.33514,0.15574,0.10413,0.058,0.036,-0.10923,371.32245,0.07247,2.226,18702.42196,357600,52.29984,0.00122,0.859,-0.40639,410558.88735,1.0,90,IT services — delivery is labor-hours that AI directly automates,False
26,ACN,Accenture plc,USA,Technology,Information Technology Services,Ireland,76760.25197,143.57,USD,74.1,68.3,84.9,68.9,45.4,67.8,83.1,11.46725,9.78629,6.775,1.2,2.75455,1.20186,0.0872,0.10218,0.1376,0.0454,0.5088,0.24769,25.0,buy,0.24406,0.10903,0.32013,0.16964,0.10656,0.056,0.09,-0.13773,1557.63006,0.25035,1.339,63867.9883,799000,79.9349,0.00035,1.122,-0.4917,1025632.28665,1.0,90,IT services — delivery is labor-hours that AI directly automates,False
27,CANTA.ST,Cantargia AB (publ),Stockholm,Healthcare,Biotechnology,Sweden,41.41729,1.838,SEK,74.1,83.5,56.6,74.3,,92.1,90.0,2.87188,-1.95532,1.204,0.627,1.95324,1.44052,0.3482,-0.51143,0.19709,,0.0,4.4407,2.0,none,1.05964,0.52591,1.0,-72.61811,0.50732,,,-1.56154,23.38792,,8.09,28.75156,22,1306.88932,0.14375,1.62,-0.41278,222.15417,0.75,60,"Biotech — discovery upside, binary science risk dominates",False
28,AVT-B.ST,AVTECH Sweden AB (publ),Stockholm,Industrials,Aerospace & Defense,Sweden,23.24137,4.54,SEK,73.9,75.2,71.4,86.1,52.1,92.3,69.2,15.13333,,10.022,4.012,4.11605,4.69103,0.06608,,,0.022,0.3329,0.98238,1.0,strong_buy,0.30177,0.16977,0.69287,0.27407,0.3122,0.134,0.027,-1.69537,3.3627,,10.5,4.95443,19,260.75925,0.38817,0.803,-0.58157,57.49363,0.83,72,Defence — autonomy and sensor fusion are budget priorities,False
29,CPAY,"Corpay, Inc.",USA,Technology,Software - Infrastructure,United States,20889.06414,365.79,USD,73.8,67.7,85.1,84.7,77.8,22.2,63.8,21.87739,11.95654,12.621,6.73,6.89182,4.99794,0.04571,0.08364,0.08763,,0.0,0.08025,14.0,buy,0.32124,0.06187,0.79715,0.41404,0.24597,0.254,0.491,3.10901,-6928.46592,2.71343,0.977,4179.53891,11800,354.19821,0.03907,0.881,0.10587,195450.82578,1.0,92,Software economics — AI compounds both the product and dev productivity,False
30,INTU,Intuit Inc.,USA,Technology,Software - Application,United States,69567.38659,291.09,USD,73.8,70.3,80.4,86.7,53.4,66.3,64.6,17.76022,10.6469,12.441,3.811,3.87011,3.8052,0.05631,0.09392,0.06571,0.0165,0.2831,0.62728,33.0,buy,0.22496,0.09465,0.80793,0.46974,0.21907,0.104,0.107,0.01872,-104.84356,0.33448,1.453,18282.17275,18200,1004.51499,0.02352,0.996,-0.61884,1300666.33225,1.0,92,Software economics — AI compounds both the product and dev productivity,False
31,CTM.ST,Catena Media plc,Stockholm,Communication Services,Internet Content & Information,Malta,19.61058,2.86,SEK,73.8,71.2,78.7,63.3,84.3,89.2,62.8,,0.76676,0.89415,0.37398,0.25489,0.39915,-0.27273,1.3042,0.96176,,0.0,,,none,-0.04521,0.0902,0.38552,0.99895,-0.10889,0.258,,-0.66453,13.654,,4.468,49.131,160,307.06875,0.26545,1.31,0.65509,51.99529,0.83,88,"Digital platform — data-rich, AI-native product surface",False
32,TITAN.HE,Titanium Oyj,Helsinki,Financial Services,Asset Management,Finland,63.67865,6.06,EUR,73.8,72.6,75.9,84.0,27.4,92.6,79.5,11.88235,15.94737,6.806,2.348,3.85006,3.15785,0.08416,0.06271,0.07936,0.0825,1.2662,-0.0099,1.0,none,0.314,0.20489,0.55719,0.32429,0.26401,0.003,-0.125,-2.19769,15.29147,0.04615,6.017,20.16522,75,268.8696,0.65108,0.658,0.01338,23.1795,1.0,80,Asset management — research and back-office automation,False
33,META,"Meta Platforms, Inc.",USA,Communication Services,Internet Content & Information,United States,1432734.28145,646.01,USD,73.7,72.6,75.8,90.8,81.9,73.2,45.0,23.4742,17.78223,15.053,7.655,6.72836,7.62851,0.0426,0.05624,0.01559,0.0033,0.0764,0.27349,58.0,strong_buy,0.3293,0.16395,0.81941,0.40617,0.32837,0.331,0.624,0.05113,-4883.10961,0.35608,2.348,187813.17436,77986,2408.29347,0.00103,1.246,-0.09392,10250979.28903,1.0,88,"Digital platform — data-rich, AI-native product surface",False
34,FICO,Fair Isaac Corporation,USA,Technology,Software - Application,United States,25471.43083,1257.11,USD,73.3,68.1,83.0,94.9,83.6,54.5,33.3,39.84501,23.06974,28.023,14.448,,12.92379,0.0251,0.04335,0.02506,,0.0,0.2207,20.0,buy,,0.36918,0.84165,0.58187,0.33675,0.387,0.69,2.95542,-3003.08083,,2.223,1970.89436,3758,524.453,0.02787,1.29,-0.17894,375010.70687,0.83,92,Software economics — AI compounds both the product and dev productivity,False
35,VPAB-B.ST,Veteranpoolen AB ser. B,Stockholm,Industrials,Staffing & Employment Services,Sweden,123.73984,67.9,SEK,72.9,67.4,83.2,72.8,75.8,79.7,49.3,22.55814,,17.013,1.91,17.92976,2.03487,0.04433,,0.03537,0.0471,0.7484,,,none,0.80217,0.30849,0.45072,0.04958,0.0898,0.141,0.786,-1.04355,7.12521,,2.015,60.80974,1001,60.74899,0.0,0.94,0.42647,91.17101,0.92,85,Staffing — matching and admin are directly AI-automatable,False
36,EQV1V.HE,eQ Oyj,Helsinki,Financial Services,Asset Management,Finland,397.50912,9.6,EUR,72.8,71.6,74.9,93.5,33.3,89.7,62.4,18.46154,15.73771,13.605,6.422,7.60697,6.72786,0.05417,0.06354,0.06555,0.0542,1.1346,0.04167,1.0,none,0.41473,0.18261,0.98961,0.39043,0.36267,0.012,0.0,-0.64846,18.085,0.04997,4.574,59.084,123,480.35772,0.78683,0.337,-0.25869,46.7136,1.0,80,Asset management — research and back-office automation,False
37,NOVU.ST,Novus Group International AB,Stockholm,Industrials,Consulting Services,Sweden,2.72638,2.9,SEK,72.8,67.9,81.9,74.6,58.6,71.3,64.5,,,4.065,0.452,2.81827,0.50309,-0.00345,,0.11896,,0.0,,,none,0.35972,0.09416,0.52006,0.12561,0.06949,-0.042,3.59,-1.20677,0.72738,,1.416,5.41921,39,138.95409,0.87294,-0.194,-0.21622,1.71091,0.92,84,Professional services — knowledge work with billable-hour leverage,False
38,OCTV-SDB.ST,Octave Intelligence Plc SDB,Stockholm,Technology,Software - Application,United States,,159.95,SEK,72.8,64.2,88.7,76.4,26.6,69.8,72.2,14.2431,,8.99698,2.70547,0.58145,,0.07021,,,,0.0,0.39261,2.0,none,,,0.75791,0.1675,0.14376,0.01,-0.203,-0.25554,110.21027,0.00644,0.983,1434.2616,7200,199.203,0.0,,0.01879,34598.00388,0.75,92,Software economics — AI compounds both the product and dev productivity,False
39,NVDA,NVIDIA Corporation,USA,Technology,Semiconductors,United States,4291842.42178,202.81,USD,71.9,74.4,67.2,94.5,92.8,87.6,32.2,31.05819,15.80593,29.409,19.202,25.13135,19.37844,0.0322,0.06327,0.00943,0.0049,0.0061,0.49061,58.0,strong_buy,1.14288,0.52727,0.74145,0.65596,0.62966,0.852,2.145,-0.24383,35260.78439,0.06555,3.441,221475.09609,42000,5273.21657,0.03984,2.211,0.18339,27765114.65982,1.0,78,Semis — rides the AI capex cycle and design automation,False
40,REAKTOR.HE,Reaktor Group Oyj,Helsinki,Technology,Software - Application,Finland,,7.86,EUR,71.9,65.6,83.5,55.7,90.1,49.2,68.9,15.11538,,10.123,1.369,1.06866,,0.06616,,,,0.0,,,none,,,0.27962,0.26665,0.10614,0.306,3.132,-0.08787,1.508,0.49811,0.632,126.855,690,183.84783,0.48042,,-0.03202,781.5591,0.75,92,Software economics — AI compounds both the product and dev productivity,False
41,AMP,"Ameriprise Financial, Inc.",USA,Financial Services,Asset Management,United States,41460.53875,527.87,USD,71.8,73.6,68.6,73.6,68.6,65.0,81.1,13.15728,10.58835,,2.198,7.65462,2.45672,0.076,0.09444,0.07071,0.0129,0.1595,0.04433,11.0,buy,0.66936,0.02426,0.56601,0.37188,0.20165,0.09,0.66,,4370.24742,0.56246,2.483,16876.39036,13600,1240.91106,0.00192,1.159,-0.01242,317490.1023,0.83,80,Asset management — research and back-office automation,False
42,IT,"Gartner, Inc.",USA,Technology,Information Technology Services,United States,8200.53535,140.19,USD,71.8,65.2,84.1,84.0,39.3,28.7,78.9,13.85277,9.16005,8.283,1.711,150.09636,1.44977,0.07219,0.10917,0.11338,,0.0,0.15887,13.0,hold,0.94878,0.09377,0.68987,0.20499,0.1144,-0.015,0.173,1.26273,-1475.0056,52.9341,0.939,5656.45374,19367,292.06659,0.03544,0.963,-0.60297,194783.25352,1.0,90,IT services — delivery is labor-hours that AI directly automates,False
43,LUG.ST,Lundin Gold Inc.,Stockholm,Basic Materials,Gold,Canada,11547.1677,526.8,SEK,71.8,84.9,47.6,94.7,86.3,80.3,74.9,14.3269,22.7069,9.2499,6.5909,9.69849,6.62817,0.0698,0.04404,0.0857,0.0714,0.8462,0.22393,1.0,hold,0.68451,0.46546,0.77825,0.68918,0.45737,0.592,0.794,-0.49522,614.73623,,2.257,1742.13604,,,0.58484,1.464,0.1329,6171.98069,0.92,42,Mining — commodity price dominates,False
44,UPSALE.ST,Upsales Technology AB (publ),Stockholm,Technology,Software - Application,Sweden,41.81821,27.4,SEK,71.7,64.3,85.5,79.1,50.7,64.8,56.0,20.75757,18.63946,13.218,2.406,25.1607,2.63541,0.04818,0.05365,0.04021,0.0508,1.1364,,,none,0.96555,0.16667,0.60078,0.08765,0.12751,0.155,-0.053,-1.26111,3.64223,0.12399,0.792,15.86779,61,260.12771,0.54107,0.495,-0.18452,329.96605,1.0,92,Software economics — AI compounds both the product and dev productivity,False
45,VUXEN.ST,Vuxen Group AB,Stockholm,Consumer Cyclical,Internet Retail,Sweden,26.19102,25.8,SEK,71.7,71.8,71.4,65.8,82.6,90.7,62.3,20.0,,11.202,1.053,2.65596,1.17607,0.05,,0.05115,,0.0,,,none,0.15447,0.07618,0.53643,0.07692,0.06349,0.232,,-1.30736,2.73729,0.06526,4.032,22.26998,30,742.33262,0.69383,0.557,1.28319,34.03663,0.92,82,"E-commerce — recommendation, logistics and support automation",False
46,MS,Morgan Stanley,USA,Financial Services,Capital Markets,United States,295979.86648,215.5,USD,71.5,71.0,72.4,90.9,80.7,2.4,75.5,17.42118,16.00931,,3.415,3.25637,4.35275,0.0574,0.06246,,0.0213,0.3231,0.0759,21.0,buy,,,0.87641,0.41567,0.25897,0.28,0.624,,73209.96272,5.02246,,67998.32356,82944,819.81004,0.24402,1.218,0.53414,1094794.68023,0.5,80,"Capital markets — research, ops and compliance are text-heavy",False
47,RJF,"Raymond James Financial, Inc.",USA,Financial Services,Asset Management,United States,28666.54192,168.36,USD,71.5,70.5,73.4,71.0,59.5,66.1,79.5,15.89802,11.93112,,1.493,2.60765,2.22852,0.0629,0.08381,,0.0128,0.1964,0.08498,12.0,buy,0.17289,0.02453,0.93031,0.19324,0.14583,0.131,0.153,,9562.64672,0.48477,2.295,12863.48575,19500,659.66594,0.10423,0.939,0.05634,215235.92076,0.75,80,Asset management — research and back-office automation,False
48,CRM,"Salesforce, Inc.",USA,Technology,Software - Application,United States,122196.24449,170.77,USD,71.5,65.1,83.4,76.2,71.9,27.8,66.2,19.81091,10.99952,13.228,3.983,4.08531,3.26556,0.05048,0.09091,0.11835,0.0103,0.1956,0.4356,52.0,buy,0.16908,0.05703,0.77644,0.218,0.18733,0.133,0.522,2.38162,-26832.20064,1.24282,0.786,37419.699,83334,449.0328,0.02985,1.178,-0.3489,2211966.72173,1.0,92,Software economics — AI compounds both the product and dev productivity,False
49,TROW,"T. Rowe Price Group, Inc.",USA,Financial Services,Asset Management,United States,21968.47671,117.35,USD,71.5,72.8,69.1,78.6,41.4,91.4,77.5,12.5912,11.29855,7.844,3.101,2.3397,3.39424,0.07942,0.08851,0.07478,0.0443,0.5483,-0.06192,12.0,hold,0.18689,0.10848,0.51999,0.37184,0.28278,0.053,0.037,-1.11664,2857.17377,0.0387,5.545,6472.28256,7507,862.16632,0.01768,1.497,0.12082,222778.7637,1.0,80,Asset management — research and back-office automation,False
50,GS,"The Goldman Sachs Group, Inc.",USA,Financial Services,Capital Markets,United States,274558.31692,1065.22,USD,71.4,71.7,70.8,71.1,86.7,40.7,77.9,16.44619,14.72599,,2.26,2.90686,4.6507,0.0608,0.06791,,0.0188,0.2625,0.04471,20.0,hold,0.16952,0.01072,0.82076,0.42316,0.31039,0.425,0.923,,157266.00278,6.47154,2.567,59035.9106,46200,1277.83356,0.00526,1.292,0.50881,1973194.45883,0.75,80,"Capital markets — research, ops and compliance are text-heavy",False
51,TRUE-B.ST,Truecaller AB (publ),Stockholm,Technology,Software - Application,Sweden,466.51159,15.905,SEK,71.3,64.1,84.7,80.0,6.0,91.8,70.3,21.78767,7.87376,8.305,2.366,4.36351,2.83606,0.0459,0.127,0.08308,0.0178,0.4022,1.14817,6.0,buy,0.22761,0.15569,0.74553,0.12339,0.17597,-0.265,-0.672,-1.66719,78.13137,0.05069,4.441,164.49284,463,355.27611,0.02191,1.112,-0.70897,3502.41161,1.0,92,Software economics — AI compounds both the product and dev productivity,False
52,AZA.ST,Avanza Bank Holding AB (publ),Stockholm,Financial Services,Banks - Regional,Sweden,5421.76777,379.0,SEK,71.1,69.0,75.0,77.5,72.4,49.8,66.5,21.13776,29.10906,,10.604,7.62299,11.12258,0.04731,0.03435,,0.0336,0.7119,0.09393,15.0,buy,0.39111,0.00668,0.90777,0.63493,0.53031,0.254,0.3,,252.7919,0.0435,0.424,487.45601,764,638.03143,0.17151,0.652,0.07609,12912.5588,0.75,82,"Banking — document-heavy processes, fraud/KYC, service automation",False
53,MSFT,Microsoft Corporation,USA,Technology,Software - Infrastructure,United States,2555979.91287,393.82,USD,71.0,66.8,78.8,88.3,67.0,63.5,43.4,23.46961,20.32464,16.116,9.34,7.06062,9.19169,0.04261,0.0492,0.01265,0.0092,0.2073,0.41741,55.0,strong_buy,0.34014,0.14814,0.68309,0.46326,0.39342,0.183,0.234,0.25591,-41242.13577,0.30271,1.283,278075.12409,228000,1219.62774,0.00078,1.13,-0.22789,13543950.58349,1.0,92,Software economics — AI compounds both the product and dev productivity,False
54,NTAP,"NetApp, Inc.",USA,Technology,Software - Infrastructure,United States,28052.19968,163.88,USD,71.0,65.1,82.1,87.0,62.9,49.0,49.2,25.84858,16.65732,16.59,4.514,23.77484,4.63644,0.03869,0.06003,0.04034,0.0127,0.3276,0.08158,16.0,buy,1.06734,0.09824,0.70744,0.27259,0.18426,0.125,0.234,-0.4517,743.51878,2.02295,1.436,6050.37284,11700,517.12588,0.00555,1.451,0.52503,463561.47556,1.0,92,Software economics — AI compounds both the product and dev productivity,False
